epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,705.475,1.04456,0.52123,0.00464,0.97411,0.9728,0.99337,0.77243,0.84844,0.26344,0.00485,0.000825512,0.000825512,0.000825512
143,710.444,1.1132,0.53421,0.005,0.96283,0.97354,0.99315,0.76118,0.8395,0.26887,0.00478,0.000824275,0.000824275,0.000824275
144,715.407,1.08811,0.5438,0.00493,0.97091,0.96775,0.99229,0.756,0.86569,0.27481,0.00497,0.000823038,0.000823038,0.000823038
145,720.38,1.04206,0.50555,0.00464,0.98003,0.98836,0.99429,0.78046,0.8256,0.24512,0.00469,0.0008218,0.0008218,0.0008218
146,725.287,1.07223,0.53039,0.00484,0.99224,0.97967,0.99424,0.76698,0.82839,0.26679,0.00469,0.000820563,0.000820563,0.000820563
147,730.144,1.05348,0.54294,0.00466,0.98803,0.98156,0.99432,0.76869,0.83059,0.24899,0.0047,0.000819325,0.000819325,0.000819325
148,734.989,1.06759,0.5518,0.0049,0.95354,0.97862,0.98684,0.76004,0.85286,0.29165,0.00481,0.000818088,0.000818088,0.000818088
149,739.848,1.06599,0.5468,0.00459,0.95926,0.98151,0.99285,0.76746,0.84998,0.29152,0.00488,0.00081685,0.00081685,0.00081685
150,744.728,1.05457,0.53899,0.00475,0.97494,0.99105,0.99403,0.7737,0.82703,0.23797,0.00468,0.000815613,0.000815613,0.000815613
151,749.56,1.03766,0.51817,0.00463,0.97426,0.99454,0.99391,0.78023,0.81655,0.23731,0.00457,0.000814375,0.000814375,0.000814375
152,754.411,1.05593,0.51468,0.00472,0.97115,0.99175,0.99396,0.77486,0.83214,0.26181,0.00469,0.000813138,0.000813138,0.000813138
153,759.318,1.05238,0.54285,0.00472,0.99008,0.97451,0.99393,0.76811,0.83039,0.24933,0.00465,0.0008119,0.0008119,0.0008119
154,764.195,1.07717,0.53612,0.00488,0.98793,0.96184,0.99329,0.76304,0.82748,0.27557,0.00467,0.000810662,0.000810662,0.000810662
155,769.027,1.07129,0.52335,0.00484,0.96633,0.98036,0.99158,0.75596,0.90341,0.29178,0.0051,0.000809425,0.000809425,0.000809425
156,773.908,1.04482,0.50681,0.0046,0.97034,0.98406,0.99385,0.75751,0.8685,0.26495,0.00478,0.000808188,0.000808188,0.000808188
157,778.749,1.03841,0.5134,0.00465,0.9713,0.98646,0.99327,0.77412,0.8359,0.26951,0.00481,0.00080695,0.00080695,0.00080695
158,783.621,1.04509,0.51739,0.00467,0.98711,0.97092,0.99386,0.77103,0.82549,0.26369,0.00461,0.000805712,0.000805712,0.000805712
159,788.456,1.03301,0.50997,0.00459,0.95045,0.93243,0.98582,0.76268,0.85001,0.33951,0.00479,0.000804475,0.000804475,0.000804475
160,793.326,1.06301,0.51691,0.0048,0.97809,0.9751,0.99395,0.77545,0.81495,0.27912,0.00461,0.000803238,0.000803238,0.000803238
161,798.22,1.0652,0.54865,0.00469,0.95544,0.98713,0.99263,0.76127,0.86953,0.2845,0.00509,0.000802,0.000802,0.000802
162,803.092,1.04569,0.54073,0.00479,0.98846,0.95574,0.99364,0.77732,0.81751,0.27518,0.00454,0.000800762,0.000800762,0.000800762
163,807.953,1.03334,0.53041,0.00465,0.97238,0.97054,0.99358,0.76932,0.82554,0.28117,0.00462,0.000799525,0.000799525,0.000799525
164,812.803,1.03397,0.52373,0.00454,0.98328,0.9813,0.99355,0.76544,0.8553,0.27418,0.00476,0.000798288,0.000798288,0.000798288
165,817.783,1.03264,0.52953,0.00462,0.95181,0.96713,0.98812,0.76209,0.83588,0.3599,0.00476,0.00079705,0.00079705,0.00079705
166,822.778,1.06612,0.50724,0.00482,0.97535,0.9763,0.99355,0.77007,0.82743,0.26218,0.00475,0.000795812,0.000795812,0.000795812
167,827.733,1.04962,0.52813,0.00469,0.98826,0.95678,0.99238,0.76568,0.83302,0.27645,0.00467,0.000794575,0.000794575,0.000794575
168,832.711,1.0205,0.50295,0.00458,0.97643,0.98449,0.99357,0.76106,0.865,0.25974,0.00488,0.000793338,0.000793338,0.000793338
169,837.649,1.03592,0.48702,0.00472,0.96459,0.9845,0.99283,0.76966,0.8318,0.26894,0.00457,0.0007921,0.0007921,0.0007921
170,842.578,1.05445,0.52456,0.00479,0.98167,0.95851,0.99125,0.75644,0.88109,0.30746,0.0051,0.000790863,0.000790863,0.000790863
171,847.539,1.02791,0.51003,0.00458,0.98405,0.97261,0.99371,0.78149,0.7902,0.25457,0.00441,0.000789625,0.000789625,0.000789625
172,852.497,1.0448,0.53225,0.00465,0.94524,0.98757,0.9918,0.77281,0.79683,0.25561,0.00445,0.000788388,0.000788388,0.000788388
173,857.472,1.03032,0.5143,0.00461,0.97431,0.98945,0.99453,0.76745,0.88257,0.25854,0.00493,0.00078715,0.00078715,0.00078715
174,862.389,1.04266,0.51369,0.0046,0.96343,0.97805,0.99348,0.77811,0.81576,0.25785,0.00455,0.000785912,0.000785912,0.000785912
175,867.37,1.02603,0.49625,0.00447,0.96434,0.9709,0.99258,0.77808,0.81702,0.27194,0.00456,0.000784675,0.000784675,0.000784675
176,872.269,1.04296,0.5088,0.00466,0.98059,0.97079,0.99448,0.77399,0.81996,0.24156,0.00459,0.000783438,0.000783438,0.000783438
177,877.192,1.01058,0.49718,0.00442,0.97926,0.97971,0.99346,0.7789,0.81438,0.25217,0.00455,0.0007822,0.0007822,0.0007822
178,882.124,1.03062,0.49967,0.00464,0.97374,0.96727,0.99379,0.77606,0.81475,0.2506,0.00455,0.000780963,0.000780963,0.000780963
179,887.044,1.03717,0.51058,0.00463,0.978,0.98415,0.99409,0.78627,0.81823,0.24379,0.00455,0.000779725,0.000779725,0.000779725
